,,,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010, preliminary",1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010, preliminary",Income rank,,,
    United States ,US,0,"9,138","10,091","11,209","11,901","12,583","13,807","14,637","15,338","16,137","17,244","18,402","19,354","19,818","20,799","21,385","22,297","23,262","24,442","25,654","27,258","28,333","30,318",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"40,584","21,696","21,635","22,061","22,197","22,501","23,790","24,420","24,981","25,377","26,079","26,672","26,826","26,511","27,028","27,193","27,779","28,354","29,158","30,042","31,619","32,345","33,770",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"36,524",(X),(X),(X),(X)
Alabama ,AL,1,"7,139","7,825","8,659","9,152","9,772","10,752","11,504","12,080","12,735","13,639","14,776","15,618","16,337","17,264","17,766","18,656","19,551","20,245","21,118","22,217","22,961","24,069",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,945","16,950","16,777","17,042","17,070","17,474","18,526","19,193","19,675","20,027","20,627","21,416","21,647","21,854","22,434","22,591","23,243","23,831","24,151","24,730","25,772","26,212","26,810",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"30,549",47,41,44,42
Alaska ,AK,2,"13,199","14,975","16,528","18,819","18,843","19,395","20,104","19,673","19,244","19,848","21,525","22,594","23,092","23,706","24,478","25,186","25,778","26,179","27,197","27,943","28,538","30,531",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"44,174","31,338","32,107","32,529","35,100","33,695","33,418","33,541","32,041","30,263","30,018","31,198","31,317","30,890","30,805","31,125","31,379","31,421","31,230","31,848","32,414","32,579","34,008",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"39,754",1,6,15,8
Arizona ,AZ,4,"8,509","9,484","10,582","10,882","11,630","12,803","13,636","14,335","14,896","15,583","16,281","16,806","17,253","17,762","18,371","19,385","20,164","21,159","22,231","23,722","24,583","26,262",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"34,999","20,203","20,334","20,827","20,297","20,796","22,060","22,750","23,347","23,425","23,567","23,598","23,294","23,079","23,081","23,360","24,151","24,578","25,242","26,033","27,517","28,064","29,252",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"31,497",29,35,37,40
Arkansas ,AR,5,"7,020","7,521","8,508","8,947","9,463","10,486","11,128","11,625","12,023","12,855","13,727","14,402","15,103","16,204","16,692","17,496","18,260","19,170","19,846","20,798","21,556","22,577",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,150","16,667","16,125","16,745","16,687","16,921","18,067","18,566","18,934","18,907","19,442","19,896","19,962","20,203","21,057","21,225","21,798","22,257","22,869","23,240","24,126","24,608","25,148",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"29,833",49,49,48,46
California ,CA,6,"10,719","11,928","13,144","13,742","14,517","15,913","16,777","17,526","18,447","19,515","20,448","21,380","21,734","22,439","22,744","23,448","24,498","25,788","27,063","29,195","30,679","33,398",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"43,104","25,450","25,574","25,869","25,631","25,959","27,418","27,991","28,544","29,010","29,514","29,637","29,634","29,074","29,159","28,921","29,213","29,861","30,764","31,692","33,866","35,023","37,201",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,792",3,8,8,12
Colorado ,CO,8,"9,502","10,714","12,078","12,904","13,538","14,669","15,267","15,713","16,205","17,072","18,398","19,377","20,123","21,102","22,152","23,237","24,575","25,964","27,402","29,174","30,919","33,977",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"42,802","22,560","22,971","23,771","24,068","24,208","25,275","25,471","25,592","25,484","25,819","26,666","26,858","26,919","27,422","28,168","28,950","29,955","30,974","32,089","33,842","35,297","37,846",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,520",13,19,7,14
Connecticut ,CT,9,"10,855","12,321","13,780","14,849","15,737","17,496","18,635","19,895","21,573","23,557","25,397","26,198","26,430","28,287","29,051","29,891","31,366","32,835","34,877","37,226","38,718","41,920",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"56,001","25,773","26,417","27,121","27,696","28,140","30,146","31,090","32,403","33,926","35,627","36,810","36,312","35,355","36,758","36,940","37,240","38,232","39,170","40,842","43,182","44,201","46,693",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"50,398",2,1,1,1
Delaware ,DE,10,"9,482","10,756","11,827","12,684","13,468","14,748","15,900","16,589","17,604","18,819","20,559","21,209","22,073","22,500","22,885","23,487","24,409","25,808","26,574","28,397","29,072","31,007",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"39,962","22,513","23,061","23,277","23,658","24,083","25,411","26,527","27,018","27,684","28,461","29,798","29,397","29,527","29,238","29,100","29,262","29,752","30,788","31,119","32,940","33,189","34,538",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,964",12,9,13,20
District of Columbia,DC,11,"11,224","12,218","13,381","14,570","15,379","16,986","18,051","18,932","20,046","22,157","23,843","26,015","27,333","28,694","29,883","30,804","31,291","32,981","34,807","36,503","37,093","40,484",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"71,044","26,649","26,196","26,335","27,175","27,500","29,267","30,116","30,834","31,524","33,510","34,558","36,058","36,563","37,287","37,998","38,378","38,141","39,345","40,760","42,343","42,346","45,094",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"63,936",(X),(X),(X),(X)
