iccs,leg_stat,sex,unit,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,F,NR,AL	0 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,AT	5 	4 	3 	3 	3 	6 
ICCS0101,PER_CNV,F,NR,BA	24 	6 	6 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,BG	11 	10 	7 	13 	9 	9 
ICCS0101,PER_CNV,F,NR,CH	2 	4 	6 	5 	7 	5 
ICCS0101,PER_CNV,F,NR,CY	0 	1 	0 	2 	0 	1 
ICCS0101,PER_CNV,F,NR,CZ	: 	: 	: 	: 	11 	15 
ICCS0101,PER_CNV,F,NR,DE	40 	50 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,DK	4 	3 	2 	6 	1 	1 
ICCS0101,PER_CNV,F,NR,EE	8 	3 	2 	3 	: 	: 
ICCS0101,PER_CNV,F,NR,ES	11 	9 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,FI	14 	7 	13 	7 	14 	7 
ICCS0101,PER_CNV,F,NR,FR	52 	53 	57 	80 	68 	80 
ICCS0101,PER_CNV,F,NR,HR	8 	6 	5 	3 	4 	1 
ICCS0101,PER_CNV,F,NR,HU	20 	12 	19 	18 	27 	27 
ICCS0101,PER_CNV,F,NR,IS	0 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,IT	: 	12 	12 	21 	19 	16 
ICCS0101,PER_CNV,F,NR,LT	22 	23 	18 	16 	12 	23 
ICCS0101,PER_CNV,F,NR,LV	9 	7 	6 	13 	6 	8 
ICCS0101,PER_CNV,F,NR,ME	5 	0 	0 	0 	: 	: 
ICCS0101,PER_CNV,F,NR,MK	2 	2 	2 	2 	2 	1 
ICCS0101,PER_CNV,F,NR,MT	0 	0 	0 	0 	0 	0 
ICCS0101,PER_CNV,F,NR,NO	5 	3 	0 	2 	0 	2 
ICCS0101,PER_CNV,F,NR,PT	17 	7 	10 	6 	11 	8 
ICCS0101,PER_CNV,F,NR,RO	55 	33 	49 	48 	65 	53 
ICCS0101,PER_CNV,F,NR,SE	16 	9 	10 	17 	14 	11 
ICCS0101,PER_CNV,F,NR,SI	3 	2 	2 	3 	3 	3 
ICCS0101,PER_CNV,F,NR,SK	5 	5 	5 	1 	5 	5 
ICCS0101,PER_CNV,F,NR,UKC-L	27 	32 	23 	18 	20 	24 
ICCS0101,PER_CNV,F,NR,UKM	4 	2 	4 	6 	4 	4 
ICCS0101,PER_CNV,F,NR,UKN	0 	1 	2 	1 	2 	0 
ICCS0101,PER_CNV,F,NR,XK	1 	2 	4 	3 	4 	2 
ICCS0101,PER_CNV,F,P_HTHAB,AT	0.12 	0.09 	0.07 	0.07 	0.07 	0.14 
ICCS0101,PER_CNV,F,P_HTHAB,BA	: 	0.31 	0.31 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,BG	0.29 	0.27 	0.19 	0.34 	0.23 	0.23 
ICCS0101,PER_CNV,F,P_HTHAB,CH	0.05 	0.10 	0.15 	0.13 	0.18 	0.13 
ICCS0101,PER_CNV,F,P_HTHAB,CY	0.00 	0.23 	0.00 	0.48 	0.00 	0.25 
ICCS0101,PER_CNV,F,P_HTHAB,CZ	: 	: 	: 	: 	0.21 	0.28 
ICCS0101,PER_CNV,F,P_HTHAB,DE	0.10 	0.12 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,DK	0.14 	0.11 	0.07 	0.21 	0.04 	0.04 
ICCS0101,PER_CNV,F,P_HTHAB,EE	1.14 	0.42 	0.28 	0.42 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,ES	0.05 	0.04 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,FI	0.51 	0.25 	0.47 	0.26 	0.52 	0.26 
ICCS0101,PER_CNV,F,P_HTHAB,FR	0.15 	0.16 	0.17 	0.24 	0.20 	0.24 
ICCS0101,PER_CNV,F,P_HTHAB,HR	0.36 	0.27 	0.23 	0.13 	0.18 	0.04 
ICCS0101,PER_CNV,F,P_HTHAB,HU	0.39 	0.23 	0.36 	0.34 	0.51 	0.51 
ICCS0101,PER_CNV,F,P_HTHAB,IS	0.00 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,IT	: 	0.04 	0.04 	0.07 	0.06 	0.05 
ICCS0101,PER_CNV,F,P_HTHAB,LT	1.37 	1.42 	1.09 	0.95 	0.70 	1.33 
ICCS0101,PER_CNV,F,P_HTHAB,LV	0.82 	0.63 	0.53 	1.13 	0.51 	0.68 
ICCS0101,PER_CNV,F,P_HTHAB,ME	1.59 	0.00 	0.00 	0.00 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,MK	0.19 	0.19 	0.19 	0.20 	0.20 	0.10 
ICCS0101,PER_CNV,F,P_HTHAB,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS0101,PER_CNV,F,P_HTHAB,NO	0.20 	0.12 	0.00 	0.08 	0.00 	0.08 
ICCS0101,PER_CNV,F,P_HTHAB,PT	0.31 	0.13 	0.18 	0.11 	0.20 	0.15 
ICCS0101,PER_CNV,F,P_HTHAB,RO	0.54 	0.32 	0.47 	0.46 	0.62 	0.50 
ICCS0101,PER_CNV,F,P_HTHAB,SE	0.33 	0.19 	0.21 	0.36 	0.30 	0.24 
ICCS0101,PER_CNV,F,P_HTHAB,SI	0.29 	0.19 	0.19 	0.29 	0.29 	0.29 
ICCS0101,PER_CNV,F,P_HTHAB,SK	0.18 	0.18 	0.18 	0.04 	0.18 	0.18 
ICCS0101,PER_CNV,F,P_HTHAB,UKC-L	0.09 	0.11 	0.08 	0.06 	0.07 	0.09 
ICCS0101,PER_CNV,F,P_HTHAB,UKM	0.15 	0.07 	0.15 	0.22 	0.15 	0.15 
ICCS0101,PER_CNV,F,P_HTHAB,UKN	0.00 	0.11 	0.22 	0.11 	0.22 	0.00 
ICCS0101,PER_CNV,F,P_HTHAB,XK	: 	: 	0.45 	0.27 	0.37 	0.19 
ICCS0101,PER_CNV,M,NR,AL	77 	: 	: 	: 	: 	: 
