,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
      United States ,"18,831","19,139","19,382","19,842","21,070","21,531","22,052","22,210","22,964","23,356","23,542","23,415","23,940","24,034","24,514","24,953","25,478","26,067","27,308","27,819","28,911","29,312","29,995","30,468","31,215","31,342","32,287","32,656","32,527","32,544"
Alabama ,"14,918","15,138","15,316","15,676","16,701","17,194","17,624","17,814","18,493","19,097","19,326","19,591","20,160","20,273","20,791","21,275","21,480","21,918","22,844","23,212","23,789","24,450","25,148","25,753","26,694","27,027","27,484","27,891","27,917","28,007"
Alaska ,"28,007","27,768","30,504","29,614","29,794","30,016","29,040","27,143","27,091","27,726","27,634","27,553","27,601","27,927","28,079","28,152","27,888","28,344","28,752","28,960","30,187","31,395","32,328","32,315","32,986","33,567","34,336","35,059","36,636","36,080"
Arizona ,"18,056","18,355","17,961","18,572","19,743","20,244","20,810","20,813","21,061","20,982","20,697","20,563","20,650","20,858","21,525","21,883","22,239","22,867","24,079","24,535","25,551","25,879","26,371","26,665","27,527","28,159","28,958","29,032","28,399","27,878"
Arkansas ,"14,373","14,960","14,818","15,205","16,356","16,759","17,138","17,014","17,531","17,887","17,919","18,199","18,993","19,137","19,570","19,935","20,477","20,704","21,409","21,882","22,315","23,277","23,661","24,563","25,307","25,344","25,981","26,918","26,817","27,036"
California ,"22,350","22,682","22,631","22,981","24,271","24,623","25,128","25,224","25,889","25,746","25,800","25,602","25,865","25,655","25,902","26,328","26,826","27,363","29,094","29,610","30,814","31,175","32,190","32,699","33,643","33,811","35,120","35,496","35,134","34,900"
Colorado ,"19,922","20,519","20,742","21,400","22,435","22,538","22,729","22,524","22,878","23,466","23,567","23,683","24,122","24,723","25,357","26,236","26,924","27,666","28,951","30,109","32,143","33,233","33,384","33,221","33,812","34,161","34,986","35,071","34,695","34,251"
Connecticut ,"22,631","23,161","23,619","24,605","26,505","27,084","28,063","29,052","30,904","31,946","31,623","30,829","31,702","31,707","31,977","32,593","32,826","33,787","35,352","35,998","37,690","38,591","39,502","39,492","40,814","40,649","42,890","43,103","42,733","43,163"
Delaware ,"19,255","19,309","19,902","20,540","21,824","22,802","23,161","23,804","24,585","25,694","25,312","25,695","25,467","25,292","25,291","25,727","26,427","26,380","27,933","28,158","29,436","30,134","31,315","31,615","32,498","32,252","33,162","32,986","32,633","33,042"
District of Columbia,"22,260","22,098","22,928","23,448","24,994","25,693","26,365","26,690","28,652","29,536","31,048","31,827","32,606","33,370","33,443","33,237","33,960","34,776","35,649","35,142","37,269","41,323","42,442","43,891","46,269","47,829","50,831","52,121","52,711","54,057"
Florida ,"18,773","19,265","19,059","20,266","21,380","21,845","22,333","22,614","23,321","24,191","24,115","23,862","23,999","24,273","24,547","25,163","25,478","25,682","26,907","27,335","28,283","28,597","29,504","30,108","31,275","31,726","33,085","32,927","32,259","31,928"
Georgia ,"15,866","16,222","16,538","17,116","18,554","19,172","19,983","20,213","20,937","21,170","21,379","21,437","22,056","22,313","23,031","23,633","24,366","24,736","25,746","26,380","27,408","27,669","27,988","28,103","28,339","28,660","28,797","28,987","28,518","28,308"
Hawaii ,"21,362","21,095","21,282","22,177","23,032","23,211","23,615","23,600","24,475","25,441","26,198","26,267","27,481","27,549","27,333","27,238","26,622","26,783","27,123","27,564","28,398","28,274","29,346","29,875","31,208","31,764","33,226","34,384","34,529","35,346"
Idaho ,"16,533","16,338","16,047","16,643","17,110","17,285","17,372","17,646","18,324","18,907","19,222","19,081","19,630","20,438","20,870","21,265","21,682","21,648","22,780","23,369","24,032","24,640","25,376","25,467","26,707","26,585","27,388","27,725","27,212","26,681"
