year,all_crimes,tot_crimes,murder,forcible_rape,robbery,agg_assault
1960,,,9.11,17.19,,
1961,,,8.74,17.22,,
1962,,,8.53,17.55,,
1963,,,8.64,17.65,,
1964,,,9.36,21.42,,
1965,,,9.96,23.41,,
1966,,,11.04,25.82,,
1967,,,12.24,27.62,,
1968,,,13.8,31.67,,
1969,,,14.76,37.17,,
1970,,,16,37.99,,
1971,,,17.78,42.26,,
1972,,,18.67,46.85,,
1973,,,19.64,51.4,,
1974,,,20.71,55.4,,
1975,,,20.51,56.09,,
1976,,,18.78,57.08,,
1977,,,19.12,63.5,,
1978,,,19.56,67.61,,
1979,,,21.46,76.39,,
  1980,13408.3,1344.52,23.04,82.99,565.84,672.65
  1981,,,22.52,82.5,,
  1982,,,21.01,78.77,,
  1983,,,19.308,78.918,,
  1984,,,18.692,84.233,,
  1985,12430.357,1327.767,18.976,87.671,497.874,723.246
  1986,,,20.613,91.459,,
  1987,,,20.096,91.111,,
  1988,,,20.675,92.486,,
  1989,,,21.5,94.504,,
  1990,14475.6,1820.127,23.438,102.555,639.271,1054.863
1991,14872.9,1911.767,24.703,106.593,687.732,1092.739
1992,14438.191,1932.274,23.76,109.062,672.478,1126.974
  1993,14144.8,1926.017,24.526,106.014,659.87,1135.607
  1994,13990,1857.67,23.326,102.216,618.949,1113.179
  1995 ,13863,1798.792,21.606,97.47,580.509,1099.207
  1996,13493.9,1688.54,19.645,96.252,535.594,1037.049
  1997,13194.571,1636.096,18.208,96.153,498.534,1023.201
  1998,12485.7,1533.887,16.974,93.144,447.186,976.583
  1999,11634.378,1426.044,15.522,89.411,409.371,911.74
  2000,11608.07,1425.486,15.586,90.178,408.016,911.706
2001,11876.669,1439.48,16.037,90.863,423.557,909.023
  2002,11878.954,1423.677,16.229,95.235,420.806,891.407
  2003,11826.538,1383.676,16.528,93.883,414.235,859.03
  2004 ,11679.474,1360.088,16.148,95.089,401.47,847.381
  2005,11565.319,1390.745,16.74,94.347,417.438,862.22
  2006 ,11467.31,1435.951,17.309,94.472,449.803,874.048
  2007,11294.805,1421.99,17.128,92.16,447.155,865.804
  2008,11167.778,1392.629,16.465,90.75,443.574,842.134
  2009,10639.369,1318.398,15.399,89.241,408.217,806.843
  2010,,,14.722,85.593,,
  2011,,,14.661,84.175,,
  2012,,,14.827,84.376,,
