,X1947,X1948,X1949,X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009
inc_median_all_male,18732,18635.56,18474.75,19988.89,21278.72,21979.21,22647.66,22252.1,23506,24820.9,24539.3,24310.21,25747.55,25859.15,26285.56,27163.31,27645.23,28096.07,29910.11,30724.08,31179.95,32310.46,33253.45,32880.28,32600.37,34159.39,34762.19,33155.42,32090.85,32308.92,32638.13,32993.53,32433.44,31053.89,30488.47,29771.34,29946.49,30674.16,31007.63,31955.6,32124.94,32942.59,33225.32,32284.32,31437.03,30638.73,30845.15,31084.96,31530.75,32444.73,33594.67,34814.27,35134.02,35302.67,35256.98,34859.84,34906.57,34652.27,34362.14,34324.47,34340.69,33035.15,32184
inc_median_white_male,NA,19522.22,19459.13,21070,22352.75,23041.01,23835.94,23443.81,24808,26309.74,26080.93,25823.51,27113.19,27228.17,27791.53,28934.02,29453.11,29843.38,31500,32380.15,32825.13,33861.15,34991.38,34561.27,34177.74,35828.38,36475.27,34732.38,33711.16,34060.45,34185.72,34556.47,33881.77,33031.63,32350.86,31474.39,31522.51,32378.93,32528.46,33721.99,34146.07,34773.7,34845.41,33679.55,32859.22,32063.2,32130,32443.14,33393.63,33962.55,34797.91,36330.79,36898.9,37113.7,36636.92,36225,35840.73,35593.64,35355.37,36003.19,36352.76,34986.72,33748
inc_median_black_male,NA,10601.11,9418.5,11441.11,12311.67,12628.31,13169.53,11666.15,13055,13806.24,13807.94,12866.29,12761.04,14323.94,14363.25,14246.45,15308.75,16916.89,16952.84,17933,18787.7,20088.68,20363.79,20502,20382.91,21701.53,22062.95,21520.42,20154.2,20507.56,20286.39,20701.29,20973.38,19849.21,19237.18,18861.59,18353.51,18577.53,20470.25,20207.05,20256.45,20983.74,21059.57,20471.82,19907.51,19568.05,21348.38,21441.75,22368.63,22448.85,24112.69,25390.55,26313.51,26583.81,26006.88,25675.72,25611.1,25778.56,24864.89,26669.68,26696.9,25090.42,23706
inc_median_asian_male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32095.85,34422.85,30854.09,30145.39,29792.44,31633.02,32759.43,30971.74,31818.54,33373.48,33016.52,35887.09,38404.09,37674,36915.33,37335.84,37180.56,36944.65,39639.36,38235.52,36267.34,37108
inc_median_hispanic_male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26529.69,26753.42,25274.53,24565.65,24164.85,25138.74,25284.48,24426.27,23938.51,23088.69,22346.65,23083.63,21827.81,21736.33,21532.78,22089.74,22701.6,22380.7,21429.55,21222.18,20083.31,20009.44,20751.93,20739.13,21014.07,21607.61,22678.16,23000.02,24285.77,24459.75,24682.55,24552.74,24477.79,24269.39,24948.94,25294.14,23911.91,22256
inc_median_whitenon_male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36236.46,36997.4,35465.94,34486.88,34684.28,34878.92,34924.57,34594.93,33906.49,33201.72,32278.96,32488.6,33342.42,33632.95,35238.17,35571.16,36069.94,36176.56,34933.18,34055.63,33550.57,33869.44,34522.63,35610.09,35788.03,36722.02,39242.93,39737.37,39244.84,38516.02,38193.45,37705.53,38242.86,38833.89,38897.87,38661.72,37267.03,36785
inc_median_all_female,8542.8,7847.78,7560,7412.22,7532.61,8119.21,8198.44,8084.07,7840,7919.8,8008.47,7637.94,7878.22,7992.25,8025.6,8337.87,8408.17,8760.75,9056.99,9484.74,10112.57,10908.83,11027.59,11027.46,11372.11,11916.81,12064.93,12090.04,12270.14,12257.24,12706.4,12274.14,11983.22,12193.55,12351.08,12563.72,12933.63,13504.49,13719.7,14209.54,14982.37,15478.21,16074.02,16020.45,16089.42,16048.07,16146.13,16409.77,16951.86,17444.79,18259.07,18963.08,19700.69,20007.3,20128.5,20044.59,20128.05,20061.66,20409.63,21291.49,21643.45,20787.81,20957
inc_median_white_female,NA,8812.22,8426.25,8244.44,8801.26,9478.31,9091.41,8983.08,8764,8719.37,8762.61,8306.91,8451.53,8569.01,8508.76,8778.99,8812.65,9177.93,9604.82,9930.61,10415.78,11233.02,11286.21,11170.42,11561.02,11994.76,12181.44,12227.33,12397.01,12360.07,12899.85,12421.98,12096.11,12260.46,12489.12,12734.45,13142.4,13663.76,13985.85,14489.63,15365.28,15859.76,16388.02,16413.41,16465.7,16421.04,16467.7,16644.48,17211.8,17643.54,18377.66,19208.82,19762.48,20027.22,20174.54,20075.59,20318.14,20098,20511.81,21363.83,21795.52,20870.49,21118
inc_median_black_female,NA,3826.67,3898.13,3686.67,3733.87,3659.66,5322.66,4871.35,4571,5011.05,5072.03,4871.13,5204.91,5304.93,5703.88,5896.15,5901.65,6439.06,6990.74,7556.53,8197.86,8909.69,9517.24,10169.72,10130.06,11206.11,10994.79,11038.73,11262.43,11647.12,11139.46,11184.91,11008.48,11350.9,11095.15,11232.01,11345.32,12120.22,11932.74,12260.17,12551.23,12803.84,13152.84,13249.09,13539.93,13311.48,13898,15090.23,15318.17,16024.98,17386.29,17263.89,19021.01,19780.6,19726.27,19911.05,19313.43,19705.1,19351.57,20302.13,20412.41,20123.34,19441.5
inc_median_asian_female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16105.42,18721.29,17636.82,16934.13,17781.1,18074.13,17692.09,17974.84,19920.96,19070.56,20011.76,21622.62,21617.79,22443.75,21452.07,20734.49,23357.01,23767.28,23554.79,25060.34,22974.48,24256.5
