"location","variable","Unit","Date","Value"
"Canada","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",48135
"Canada","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",49376
"Canada","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",53451
"Canada","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",56709
"Canada","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",58269
"Canada","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",58419
"Canada","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",57002
"Canada","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",55436
"Canada","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",53957
"Canada","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",53339
"Canada","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",48862
"United States of America","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",859030
"United States of America","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",847381
"United States of America","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",862220
"United States of America","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",874096
"United States of America","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",866358
"United States of America","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",843683
"United States of America","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",812514
"United States of America","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",781844
"United States of America","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",752423
"United States of America","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",762009
"United States of America","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",724149
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",1116
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",1089
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",1095
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",1164
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",1148
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",1549
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",1605
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",1451
"United Kingdom (Northern Ireland)","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",1446
