"location","variable","Unit","Date","Value"
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",3.82463065
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",4.66814839
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",4.65620206
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",4.7148554
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",4.97557459
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",5.36918831
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",5.61432605
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2000 12:00:00 AM",5.47656604
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2001 12:00:00 AM",6.61942245
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2002 12:00:00 AM",5.59099788
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",5.64320887
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",5.46487169
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",5.7515891
"United States of America","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",5.63816555
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",1.43936829
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",1.56304757
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",1.53802249
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",1.44170585
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",1.5998759
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",1.6631756
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",1.84168389
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2000 12:00:00 AM",1.59296749
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2001 12:00:00 AM",1.78463157
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2002 12:00:00 AM",1.67179468
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",1.73780202
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",1.72337727
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",1.71414638
"Canada","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",1.63403617
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",3.6342708
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",3.96612855
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",5.12060284
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",4.96547004
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",5.66148249
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",8.53620707
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2000 12:00:00 AM",10.1488159
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2001 12:00:00 AM",9.76797481
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2002 12:00:00 AM",10.03768853
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",8.98395368
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",8.38478143
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",7.62965291
"Belarus","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",6.7707364
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",1.50018314
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",1.94209193
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",1.74832247
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",1.98939665
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",2.01445114
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",2.29204795
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",2.59004506
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",3.16382936
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",3.15059251
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",2.44003163
"Bulgaria","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",2.3402975
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",0.92791261
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",0.99716597
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",0.81917679
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",0.97596094
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",0.89639624
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",1.09490776
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",1.055648
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2000 12:00:00 AM",1.76578509
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2001 12:00:00 AM",1.38787961
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2002 12:00:00 AM",1.45877207
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",1.59743689
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",1.31271367
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",1.26521839
"Czech Republic","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",1.21883011
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",2.66571854
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",1.42545209
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",1.74305573
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",1.62761831
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",1.46544306
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",1.80170172
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",1.6244115
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2000 12:00:00 AM",2.00506391
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2001 12:00:00 AM",2.49114125
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2002 12:00:00 AM",1.99634345
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",2.24802344
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",2.06565175
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",1.72670146
"Hungary","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",1.53069551
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",0.78186333
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",0.98874096
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",1.17710223
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",1.14139849
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",1.29079248
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",1.20451216
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",1.4526386
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2000 12:00:00 AM",2.22938191
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2001 12:00:00 AM",2.02532999
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2002 12:00:00 AM",1.8704017
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",1.73069968
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",1.65596459
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",1.28291854
"Poland","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",1.37473652
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",5.0201853
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",6.69449023
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",8.74810733
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",7.47266181
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",6.82560144
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",6.48973879
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",7.85755109
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2000 12:00:00 AM",10.54250309
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2001 12:00:00 AM",10.14706061
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2002 12:00:00 AM",10.05280874
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",8.18684695
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",7.23622459
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",7.05146303
"Republic of Moldova","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",5.90855946
"Romania","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",1.54766989
"Romania","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",1.7370993
"Romania","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",1.53593829
"Romania","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",1.84799965
"Romania","Homicide, Rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",1.81168423
