Arrest Dispositions: To Other Agency
All Counties
Years: 2005 - 2014
All Genders |Race: All | Ages: Adults | All Types of Offenses
 ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
Felony,5534,6136,5798,5587,5482,4099,3320,3428,2999,3196,
Violent Offenses,692,777,705,608,626,415,440,336,319,357,
Homicide,22,11,22,20,19,17,23,14,9,13,
Rape (Forcible Rape prior to 2014),10,18,14,8,9,9,9,8,4,11,
Robbery,94,82,123,125,122,71,82,41,46,44,
Assault,544,651,525,440,465,313,323,269,256,282,
Kidnapping,22,15,21,15,11,5,3,4,4,7,
Property Offenses,1227,1415,1315,1052,825,631,555,432,399,443,
Burglary,283,308,288,227,184,157,194,144,137,175,
Theft,487,567,606,553,432,305,251,191,163,172,
Motor Vehicle Theft,320,290,203,161,136,108,63,56,60,67,
Forgery / Checks / Access Cards,131,243,211,105,70,59,45,36,35,24,
Arson,6,7,7,6,3,2,2,5,4,5,
Drug Offenses,1417,1658,1300,1201,1144,614,571,590,561,573,
Narcotics,634,680,621,676,636,229,194,202,197,168,
Marijuana,75,89,86,117,144,52,51,52,52,80,
Dangerous Drugs,694,877,571,403,350,328,317,313,286,322,
Other Drugs,14,12,22,5,14,5,9,23,26,3,
Sex Offenses,70,68,69,55,58,55,52,27,42,51,
Lewd or Lascivious,24,25,17,18,23,28,23,8,11,15,
Unlawful Sexual Intercourse,2,3,11,11,4,7,4,2,4,7,
Other Sex Law Violations,44,40,41,26,31,20,25,17,27,29,
Other Offenses,2128,2218,2409,2671,2829,2384,1702,2043,1678,1772,
Weapons,167,155,147,138,109,90,94,63,59,52,
Driving under the Influence,61,91,62,55,40,54,35,67,46,61,
Hit-and-Run,11,22,20,6,8,14,9,5,5,3,
Escape,10,5,8,7,5,1,1,4,1,0,
Bookmaking,0,0,0,0,0,0,0,0,0,0,
Manslaughter Vehicular,4,4,1,0,2,1,1,0,1,1,
Other Felonies,1875,1941,2171,2465,2665,2224,1562,1904,1566,1655,
Misdemeanor,9126,9384,9333,10490,11026,11084,8299,6977,6400,6705,
Vehicular Manslaughter,0,2,1,1,0,0,1,1,1,1,
Assault and Battery,495,559,461,444,380,334,371,272,263,271,
Burglary,3,24,12,11,10,18,17,9,16,15,
Petty Theft,151,246,200,213,168,150,207,162,163,161,
Other Theft,42,53,34,40,39,17,20,18,24,20,
Checks and Access Cards,11,25,19,11,9,9,8,5,6,8,
Marijuana,190,212,203,222,164,188,10,11,10,19,
Dangerous Drugs,42,31,48,50,35,22,22,32,46,40,
Other Drugs,760,895,767,562,419,372,370,272,266,311,
Indecent Exposure,8,14,13,9,5,9,2,4,8,6,
Annoying Children,1,6,7,4,4,2,3,4,10,2,
Obscene Matter,2,2,1,1,1,0,1,0,2,0,
Lewd Conduct,38,26,30,15,11,17,16,14,7,6,
Prostitution,55,97,101,54,52,43,41,29,33,24,
Contributing to the Delinquency of a Minor,14,15,10,10,4,1,7,8,2,2,
Drunk,314,378,272,250,189,212,256,238,181,171,
Liquor Laws,116,128,68,62,63,38,55,50,33,36,
Disorderly Conduct,18,8,27,25,19,7,8,13,9,7,
Disturbing the Peace,32,42,41,27,25,24,19,16,9,20,
Vandalism,67,145,353,131,46,50,68,155,258,322,
Malicious Mischief,10,8,8,3,1,7,3,7,4,6,
Trespassing,98,82,67,74,58,40,65,43,63,54,
Weapons,43,40,36,39,36,40,33,24,21,28,
Driving under the Influence,1827,1585,1381,1348,1763,2854,1685,1159,969,840,
Hit-and-Run,56,73,57,54,73,60,51,52,42,57,
Selected Traffic Violations,380,402,474,1253,1185,939,858,258,222,273,
Joyriding,10,11,8,9,11,6,5,0,5,4,
Gambling,2,2,4,1,1,0,1,1,0,0,
Nonsupport,7,78,67,3,0,2,1,0,1,0,
Glue Sniffing,3,3,5,8,13,7,7,5,5,8,
City or County Ordinances,99,113,133,141,126,126,152,84,77,115,
Failure to Appear Non-traffic,3426,3346,3828,4907,5674,5231,3676,3779,3409,3587,
Other Misdemeanors,780,708,573,496,414,246,240,237,220,280,
Burglary Tools,23,25,22,7,19,9,16,13,10,10,
Other Sex Offenses,1,0,2,4,7,2,3,1,5,1,
Escape,1,0,0,1,1,0,0,0,0,0,
Arson,1,0,0,0,1,2,1,1,0,0,
Status Offenses,0,0,0,0,0,0,0,0,0,0,
Truancy,0,0,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,0,0,
Curfew,0,0,0,0,0,0,0,0,0,0,
Incorrigible,0,0,0,0,0,0,0,0,0,0,
Other Status Offenses,0,0,0,0,0,0,0,0,0,0,
