region,value
alabama,37.9
alaska,33.8
arizona,35.9
arkansas,37.4
california,35.2
colorado,36.1
connecticut,40
delaware,38.8
district of columbia,33.8
florida,40.7
georgia,35.3
hawaii,38.6
idaho,34.6
illinois,36.6
indiana,37
iowa,38.1
kansas,36
kentucky,38.1
louisiana,35.8
maine,42.7
maryland,38
massachusetts,39.1
michigan,38.9
minnesota,37.4
mississippi,36
missouri,37.9
montana,39.8
nebraska,36.2
nevada,36.3
new hampshire,41.1
new jersey,39
new mexico,36.7
new york,38
north carolina,37.4
north dakota,37
ohio,38.8
oklahoma,36.2
oregon,38.4
pennsylvania,40.1
rhode island,39.4
south carolina,37.9
south dakota,36.9
tennessee,38
texas,33.6
utah,29.2
vermont,41.5
virginia,37.5
washington,37.3
west virginia,41.3
wisconsin,38.5
wyoming,36.8
