Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/ Forcible rape
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Anaheim Police Dept,CA,         107,         111,          91,         107,         113,          94,         111,          90,          70,          90,          76,          81,         100,          73,          85,          84,          91,          80,          76,         102,          81,         107,          96,          83,          72,          88,         105,          82, 
Antioch Police Dept,CA,          16,          17,          20,          21,          14,          18,          23,          31,          21,          20,           9,          22,          16,          20,          14,          15,          16,          23,          15,          31,          28,          35,          27,          29,          40,          32,          21,          29, 
Bakersfield Police Dept,CA,          69,          93,          68,          70,          52,          65,          71,          51,          39,          59,          39,          37,          39,          31,          27,          25,          34,          47,          41,          56,          45,          43,          41,          48,          49,          34,          39,          57, 
Berkeley Police Dept,CA,          43,          55,          45,          44,          57,          48,          40,          28,          35,          36,          33,          32,          31,          33,          32,          41,          17,          28,          16,          17,          18,          22,          24,          25,          27,          23,          19,          39, 
Burbank Police Dept,CA,          30,          24,          22,          19,          13,          21,          21,          22,          16,          21,          20,          19,          14,           8,           8,           8,           7,          10,          15,          14,          13,          10,          14,          17,          22,          13,          17,          24, 
Carslbad Police Dept,CA,           9,          16,          23,          18,          23,          27,          22,          18,          22,          22,          14,          18,          10,           8,          17,           5,          11,          16,          14,          13,          11,          11,          13,          24,          26,          20,          11,          26, 
Chula Vista Police Dept,CA,          17,          43,          54,          45,          34,          43,          52,          51,          37,          53,          34,          37,          38,          50,          47,          48,          69,          50,          48,          50,          66,          70,          57,          55,          49,          54,          34,          33, 
City Of Murrieta Police Dept,CA,,,,,,,,,           5,           5,           5,           9,           1,           1,           7,           6,           2,           2,           8,          14,           9,           9,           8,          12,          17,          10,          13,           8, 
Concord Police Dept,CA,          29,          26,          33,          31,          39,          37,          47,          33,          44,          45,          50,          38,          36,          44,          37,          33,          16,          22,          22,          28,          14,          20,          13,          12,          19,          28,          19,          19, 
Contra Costa County Sheriff Department,CA,          51,          56,          51,          39,          42,          44,          45,          46,          61,          49,          49,          54,          34,          59,          49,          49,          25,          43,          31,          35,          38,          26,          42,          29,          29,          28,          30,          25, 
Corona Police Dept,CA,           4,          10,          14,          12,          16,          10,          22,          32,          28,          21,          24,          18,          30,          40,          27,          35,          19,          24,          33,          19,          33,          31,          28,          25,          12,          15,          10,          17, 
Costa Mesa Police Dept,CA,          31,          22,          28,          28,          41,          32,          35,          47,          30,          33,          25,          22,          32,          17,          29,          22,          28,          14,          42,          41,          30,          30,          39,          39,          27,          34,          30,          32, 
Daly City Police Dept,CA,          17,          14,          21,          10,           9,           5,          10,          12,          14,           7,          14,          14,          24,          17,          22,          24,          25,          27,          24,          19,          20,          18,          15,          25,          18,           9,          14,           9, 
Downey Police Dept,CA,          31,          25,          19,          22,          20,          21,          29,          21,          28,          40,          19,          33,          30,          24,          17,          11,          20,          17,          25,          19,          30,          21,          17,          24,          18,          17,          23,          20, 
El Cajon Police Dept,CA,          27,          35,          25,          31,          34,          35,          42,          49,          42,          42,          32,          33,          51,          44,          32,          43,          37,          56,          43,          21,          40,          28,          21,          35,          29,          15,          28,          24, 
El Dorado County Sheriff Department,CA,           9,          22,          11,          11,           8,          15,          24,          23,          23,          14,          25,          23,          28,          30,          23,          17,          24,          22,          24,          19,          11,          23,          20,          17,          33,          15,          21,          14, 
