location,variable,Unit,Date,Value
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/03 00:00,1116
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/04 00:00,1089
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/05 00:00,1095
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/06 00:00,1164
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/07 00:00,1148
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/08 00:00,1549
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/09 00:00,1605
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/10 00:00,1451
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/11 00:00,1446
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/12 00:00,1278
United Kingdom (Northern Ireland),"Assault at the national level, count",Number,01/01/13 00:00,1093
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/03 00:00,62330
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/04 00:00,80486
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/05 00:00,78601
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/06 00:00,84692
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/07 00:00,79523
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/08 00:00,79892
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/09 00:00,77273
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/10 00:00,75706
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/11 00:00,73443
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/12 00:00,64244
United Kingdom (Scotland),"Assault at the national level, count",Number,01/01/13 00:00,63308
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/03 00:00,455514
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/04 00:00,513173
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/05 00:00,541455
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/06 00:00,504718
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/07 00:00,450766
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/08 00:00,419119
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/09 00:00,399713
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/10 00:00,366878
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/11 00:00,336867
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/12 00:00,310953
United Kingdom (England and Wales),"Assault at the national level, count",Number,01/01/13 00:00,321339
Germany,"Assault at the national level, count",Number,01/01/03 00:00,445727
Germany,"Assault at the national level, count",Number,01/01/04 00:00,474575
Germany,"Assault at the national level, count",Number,01/01/05 00:00,494329
Germany,"Assault at the national level, count",Number,01/01/06 00:00,510775
Germany,"Assault at the national level, count",Number,01/01/07 00:00,523283
Germany,"Assault at the national level, count",Number,01/01/08 00:00,518499
Germany,"Assault at the national level, count",Number,01/01/09 00:00,519010
Germany,"Assault at the national level, count",Number,01/01/10 00:00,515853
Germany,"Assault at the national level, count",Number,01/01/11 00:00,513458
Germany,"Assault at the national level, count",Number,01/01/12 00:00,520005
Germany,"Assault at the national level, count",Number,01/01/13 00:00,506616
