location,variable,Unit,Date,Value
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/13 00:00,0.95713717
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/12 00:00,1.02904983
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/11 00:00,1.03744917
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/10 00:00,1.21321779
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/09 00:00,1.15719737
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/08 00:00,1.23913198
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/05 00:00,1.48611542
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/00 00:00,1.69970391
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/01 00:00,1.75554874
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/02 00:00,2.02079902
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/03 00:00,1.74042816
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/04 00:00,1.63876712
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/06 00:00,1.42360127
United Kingdom of Great Britain and Northern Ireland,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/07 00:00,1.43184328
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/13 00:00,0.70348247
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/12 00:00,0.69464533
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/11 00:00,0.79511747
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/10 00:00,0.83115102
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/09 00:00,0.84873342
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/08 00:00,0.86591989
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/05 00:00,1.03654782
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/00 00:00,1.21538752
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/01 00:00,1.10667827
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/02 00:00,1.14118202
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/03 00:00,1.0252006
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/04 00:00,1.03519614
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/06 00:00,0.96488785
Germany,"Homicide, Rate per 100,000 population","Rate per 100,000 population",01/01/07 00:00,0.90573214
