"ï»¿""LOCATION""",INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DEU,HHDI,NET,AGRWTH,A,1996,1.296464944,
DEU,HHDI,NET,AGRWTH,A,1997,0.525287476,
DEU,HHDI,NET,AGRWTH,A,1998,1.164444895,
DEU,HHDI,NET,AGRWTH,A,1999,1.836346916,
DEU,HHDI,NET,AGRWTH,A,2000,1.008240361,
DEU,HHDI,NET,AGRWTH,A,2001,2.478939698,
DEU,HHDI,NET,AGRWTH,A,2002,-0.46195427,
DEU,HHDI,NET,AGRWTH,A,2003,0.789378609,
DEU,HHDI,NET,AGRWTH,A,2004,0.466328436,
DEU,HHDI,NET,AGRWTH,A,2005,0.402568506,
DEU,HHDI,NET,AGRWTH,A,2006,0.990761545,
DEU,HHDI,NET,AGRWTH,A,2007,0.401535155,
DEU,HHDI,NET,AGRWTH,A,2008,1.055964652,
DEU,HHDI,NET,AGRWTH,A,2009,-0.090146964,
DEU,HHDI,NET,AGRWTH,A,2010,0.659189176,
DEU,HHDI,NET,AGRWTH,A,2011,1.033078378,
DEU,HHDI,NET,AGRWTH,A,2012,0.623393399,
DEU,HHDI,NET,AGRWTH,A,2013,0.606317014,
DEU,HHDI,NET,AGRWTH,A,2014,1.497253585,
GBR,HHDI,NET,AGRWTH,A,1998,2.831585287,
GBR,HHDI,NET,AGRWTH,A,1999,2.987142047,
GBR,HHDI,NET,AGRWTH,A,2000,5.966053,
GBR,HHDI,NET,AGRWTH,A,2001,4.476427682,
GBR,HHDI,NET,AGRWTH,A,2002,2.252466288,
GBR,HHDI,NET,AGRWTH,A,2003,1.819590845,
GBR,HHDI,NET,AGRWTH,A,2004,1.208312531,
GBR,HHDI,NET,AGRWTH,A,2005,2.197018054,
GBR,HHDI,NET,AGRWTH,A,2006,1.446067542,
GBR,HHDI,NET,AGRWTH,A,2007,2.386831486,
GBR,HHDI,NET,AGRWTH,A,2008,1.096267666,
GBR,HHDI,NET,AGRWTH,A,2009,3.099328707,
GBR,HHDI,NET,AGRWTH,A,2010,0.796106894,
GBR,HHDI,NET,AGRWTH,A,2011,-1.537974189,
GBR,HHDI,NET,AGRWTH,A,2012,2.516771778,
GBR,HHDI,NET,AGRWTH,A,2013,-0.612244735,
GBR,HHDI,NET,AGRWTH,A,2014,-0.347564199,
