"ï»¿""LOCATION""",INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DEU,POP,TOT,MLN_PER,A,1956,53.008,
DEU,POP,TOT,MLN_PER,A,1957,53.656,
DEU,POP,TOT,MLN_PER,A,1958,54.292,
DEU,POP,TOT,MLN_PER,A,1959,54.876,
DEU,POP,TOT,MLN_PER,A,1960,55.585,
DEU,POP,TOT,MLN_PER,A,1961,56.175,
DEU,POP,TOT,MLN_PER,A,1962,56.837,
DEU,POP,TOT,MLN_PER,A,1963,57.389,
DEU,POP,TOT,MLN_PER,A,1964,57.971,
DEU,POP,TOT,MLN_PER,A,1965,58.619,
DEU,POP,TOT,MLN_PER,A,1966,59.148,
DEU,POP,TOT,MLN_PER,A,1967,59.286,
DEU,POP,TOT,MLN_PER,A,1968,59.5,
DEU,POP,TOT,MLN_PER,A,1969,60.067,
DEU,POP,TOT,MLN_PER,A,1970,60.651,
DEU,POP,TOT,MLN_PER,A,1971,61.302,
DEU,POP,TOT,MLN_PER,A,1972,61.672,
DEU,POP,TOT,MLN_PER,A,1973,61.976,
DEU,POP,TOT,MLN_PER,A,1974,62.054,
DEU,POP,TOT,MLN_PER,A,1975,61.829,
DEU,POP,TOT,MLN_PER,A,1976,61.531,
DEU,POP,TOT,MLN_PER,A,1977,61.4,
DEU,POP,TOT,MLN_PER,A,1978,61.327,
DEU,POP,TOT,MLN_PER,A,1979,61.359,
DEU,POP,TOT,MLN_PER,A,1980,61.566,
DEU,POP,TOT,MLN_PER,A,1981,61.682,
DEU,POP,TOT,MLN_PER,A,1982,61.638,
DEU,POP,TOT,MLN_PER,A,1983,61.423,B
DEU,POP,TOT,MLN_PER,A,1984,61.175,
DEU,POP,TOT,MLN_PER,A,1985,61.024,
DEU,POP,TOT,MLN_PER,A,1986,61.066,B
DEU,POP,TOT,MLN_PER,A,1987,61.077,
DEU,POP,TOT,MLN_PER,A,1988,61.45,
DEU,POP,TOT,MLN_PER,A,1989,62.063,
DEU,POP,TOT,MLN_PER,A,1990,63.254,B
DEU,POP,TOT,MLN_PER,A,1991,79.984,
DEU,POP,TOT,MLN_PER,A,1992,80.595,
DEU,POP,TOT,MLN_PER,A,1993,81.179,
DEU,POP,TOT,MLN_PER,A,1994,81.422,
DEU,POP,TOT,MLN_PER,A,1995,81.661,
DEU,POP,TOT,MLN_PER,A,1996,81.895,
DEU,POP,TOT,MLN_PER,A,1997,82.052,
DEU,POP,TOT,MLN_PER,A,1998,82.029,B
DEU,POP,TOT,MLN_PER,A,1999,82.024,
DEU,POP,TOT,MLN_PER,A,2000,82.16,
DEU,POP,TOT,MLN_PER,A,2001,82.277,
DEU,POP,TOT,MLN_PER,A,2002,82.456,
DEU,POP,TOT,MLN_PER,A,2003,82.502,
DEU,POP,TOT,MLN_PER,A,2004,82.491,
DEU,POP,TOT,MLN_PER,A,2005,82.465,
DEU,POP,TOT,MLN_PER,A,2006,82.369,
DEU,POP,TOT,MLN_PER,A,2007,82.257,
DEU,POP,TOT,MLN_PER,A,2008,82.135,
DEU,POP,TOT,MLN_PER,A,2009,81.904,
DEU,POP,TOT,MLN_PER,A,2010,81.715,
DEU,POP,TOT,MLN_PER,A,2011,80.249,
DEU,POP,TOT,MLN_PER,A,2012,80.413,
DEU,POP,TOT,MLN_PER,A,2013,80.611,
DEU,POP,TOT,MLN_PER,A,2014,80.896,
GBR,POP,TOT,MLN_PER,A,1950,50.373,
GBR,POP,TOT,MLN_PER,A,1951,50.282,
GBR,POP,TOT,MLN_PER,A,1952,50.444,
GBR,POP,TOT,MLN_PER,A,1953,50.593,
GBR,POP,TOT,MLN_PER,A,1954,50.765,
GBR,POP,TOT,MLN_PER,A,1955,50.946,
GBR,POP,TOT,MLN_PER,A,1956,51.184,
GBR,POP,TOT,MLN_PER,A,1957,51.43,
GBR,POP,TOT,MLN_PER,A,1958,51.653,
GBR,POP,TOT,MLN_PER,A,1959,51.956,
GBR,POP,TOT,MLN_PER,A,1960,52.373,
GBR,POP,TOT,MLN_PER,A,1961,52.807,
GBR,POP,TOT,MLN_PER,A,1962,53.292,
GBR,POP,TOT,MLN_PER,A,1963,53.625,
GBR,POP,TOT,MLN_PER,A,1964,53.991,
GBR,POP,TOT,MLN_PER,A,1965,54.35,
GBR,POP,TOT,MLN_PER,A,1966,54.643,
GBR,POP,TOT,MLN_PER,A,1967,54.959,
GBR,POP,TOT,MLN_PER,A,1968,55.214,
GBR,POP,TOT,MLN_PER,A,1969,55.461,
GBR,POP,TOT,MLN_PER,A,1970,55.632,
GBR,POP,TOT,MLN_PER,A,1971,55.928,
GBR,POP,TOT,MLN_PER,A,1972,56.097,
GBR,POP,TOT,MLN_PER,A,1973,56.223,
GBR,POP,TOT,MLN_PER,A,1974,56.236,
GBR,POP,TOT,MLN_PER,A,1975,56.226,
GBR,POP,TOT,MLN_PER,A,1976,56.216,
GBR,POP,TOT,MLN_PER,A,1977,56.19,
GBR,POP,TOT,MLN_PER,A,1978,56.178,
GBR,POP,TOT,MLN_PER,A,1979,56.24,
GBR,POP,TOT,MLN_PER,A,1980,56.33,
GBR,POP,TOT,MLN_PER,A,1981,56.357,
GBR,POP,TOT,MLN_PER,A,1982,56.291,
GBR,POP,TOT,MLN_PER,A,1983,56.316,
GBR,POP,TOT,MLN_PER,A,1984,56.409,
GBR,POP,TOT,MLN_PER,A,1985,56.554,
GBR,POP,TOT,MLN_PER,A,1986,56.684,
GBR,POP,TOT,MLN_PER,A,1987,56.804,
GBR,POP,TOT,MLN_PER,A,1988,56.916,
GBR,POP,TOT,MLN_PER,A,1989,57.076,
GBR,POP,TOT,MLN_PER,A,1990,57.237,
GBR,POP,TOT,MLN_PER,A,1991,57.439,
GBR,POP,TOT,MLN_PER,A,1992,57.585,
GBR,POP,TOT,MLN_PER,A,1993,57.714,
GBR,POP,TOT,MLN_PER,A,1994,57.862,
GBR,POP,TOT,MLN_PER,A,1995,58.025,
GBR,POP,TOT,MLN_PER,A,1996,58.164,
GBR,POP,TOT,MLN_PER,A,1997,58.314,
GBR,POP,TOT,MLN_PER,A,1998,58.475,
GBR,POP,TOT,MLN_PER,A,1999,58.684,
GBR,POP,TOT,MLN_PER,A,2000,58.886,
GBR,POP,TOT,MLN_PER,A,2001,59.113,
GBR,POP,TOT,MLN_PER,A,2002,58.56963,
GBR,POP,TOT,MLN_PER,A,2003,58.83895,
GBR,POP,TOT,MLN_PER,A,2004,59.14912,
GBR,POP,TOT,MLN_PER,A,2005,59.59104,
GBR,POP,TOT,MLN_PER,A,2006,60.00257,
GBR,POP,TOT,MLN_PER,A,2007,60.48182,
GBR,POP,TOT,MLN_PER,A,2008,60.98238,
GBR,POP,TOT,MLN_PER,A,2009,61.42372,
GBR,POP,TOT,MLN_PER,A,2010,61.91464,
GBR,POP,TOT,MLN_PER,A,2011,62.4352,
GBR,POP,TOT,MLN_PER,A,2012,62.8588,
GBR,POP,TOT,MLN_PER,A,2013,63.23794,
GBR,POP,TOT,MLN_PER,A,2014,63.65001,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,B
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
