location,variable,Unit,Date,Value
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/13 00:00,161.4955797
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/12 00:00,144.7794339
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/11 00:00,138.889413
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/10 00:00,127.247159
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/09 00:00,124.7539135
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/08 00:00,121.6821388
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/05 00:00,128.3315722
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/04 00:00,144.0512952
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/06 00:00,131.03193
United Kingdom (Scotland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/07 00:00,126.7311412
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/13 00:00,99.31481592
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/12 00:00,81.55169549
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/11 00:00,79.36493807
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/10 00:00,81.45276555
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/09 00:00,79.11245164
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/08 00:00,74.62022512
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/05 00:00,88.03123828
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/03 00:00,92.18511176
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/04 00:00,89.44536424
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/06 00:00,81.07000995
United Kingdom (England and Wales),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/07 00:00,76.34305004
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/13 00:00,104.3326183
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/12 00:00,92.89144642
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/11 00:00,91.93537186
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/10 00:00,90.42387855
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/09 00:00,83.69890032
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/08 00:00,88.75014614
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/05 00:00,81.60983207
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/03 00:00,85.69296931
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/04 00:00,73.62713399
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/06 00:00,85.82346641
United Kingdom (Northern Ireland),"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/07 00:00,82.19412914
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/13 00:00,56.56340922
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/12 00:00,55.34291429
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/11 00:00,56.79376367
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/10 00:00,56.45683645
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/09 00:00,59.00740939
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/08 00:00,68.10303986
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/05 00:00,65.84643171
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/03 00:00,65.20228079
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/04 00:00,68.34441271
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/06 00:00,62.37259569
Germany,"Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population",01/01/07 00:00,67.33885153
