  GEO  ,Year,2008,2009,2010,2011,2012,2013
Germany (until 1990 former territory of the FRG),Y_LT15,179,136,127,135,156,133
United Kingdom,Y_LT15,48,47,61,45,68,44
Germany (until 1990 former territory of the FRG),Y15-29,,880,845,784,833,771
United Kingdom,Y15-29,249,215,202,197,154,160
Germany (until 1990 former territory of the FRG),Y30-44,,792,774,776,741,737
United Kingdom,Y30-44,210,215,237,206,190,171
Germany (until 1990 former territory of the FRG),Y45-59,,517,519,504,493,572
United Kingdom,Y45-59,154,132,155,112,139,136
Germany (until 1990 former territory of the FRG),Y_GE60,327,332,323,335,317,327
United Kingdom,Y_GE60,98,100,99,83,90,92
