"ï»¿""LOCATION""",INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,1997,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,1998,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,1999,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2000,13.665,B
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2001,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2002,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2003,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2004,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2005,20.147,B
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2006,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2007,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2008,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2009,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2010,15.897,B
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2011,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2012,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2013,,M
DEU,UNEMPEDU,BUPPSRY,PC_25_64,A,2014,12.048,
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,1997,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,1998,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,1999,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2000,6.586,B
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2001,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2002,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2003,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2004,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2005,5.137,B
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2006,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2007,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2008,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2009,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2010,9.79,B
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2011,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2012,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2013,,M
GBR,UNEMPEDU,BUPPSRY,PC_25_64,A,2014,7.729,
