"AGE","GEO","SEX","TIME","VALUE","FLAGS","FOOTNOTES"
"Y_GE85","MT","T","2011","6477","",""
"Y15-29","MT","F","2011","41659","",""
"Y15-29","MT","M","2011","44293","",""
"Y_GE85","MT","M","2011","2192","",""
"Y30-49","MT","T","2011","111124","",""
"Y65-84","MT","T","2011","61714","",""
"Y50-64","MT","F","2011","45360","",""
"Y_GE85","MT","F","2011","4285","",""
"Y50-64","MT","T","2011","90437","",""
"TOTAL","MT","T","2011","417432","",""
"Y30-49","MT","M","2011","56812","",""
"Y_LT15","MT","T","2011","61728","",""
"Y50-64","MT","M","2011","45077","",""
"TOTAL","MT","M","2011","207625","",""
"Y30-49","MT","F","2011","54312","",""
"Y65-84","MT","M","2011","27578","",""
"Y_LT15","MT","F","2011","30055","",""
"Y_LT15","MT","M","2011","31673","",""
"Y15-29","MT","T","2011","85952","",""
"TOTAL","MT","F","2011","209807","",""
"Y65-84","MT","F","2011","34136","",""
"Y65-84","LU","F","2011","0","",""
"Y15-29","LU","F","2011","0","",""
"Y_GE85","LU","T","2011","0","",""
"Y_GE85","LU","F","2011","0","",""
"Y50-64","LU","F","2011","0","",""
"Y_LT15","LU","M","2011","0","",""
"Y65-84","LU","T","2011","0","",""
"Y_LT15","LU","T","2011","0","",""
"Y15-29","LU","T","2011","0","",""
"TOTAL","LU","F","2011","0","",""
"TOTAL","LU","M","2011","0","",""
"Y30-49","LU","F","2011","0","",""
"Y65-84","LU","M","2011","0","",""
"Y_GE85","LU","M","2011","0","",""
"Y30-49","LU","T","2011","0","",""
"Y50-64","LU","T","2011","0","",""
"Y_LT15","LU","F","2011","0","",""
"Y30-49","LU","M","2011","0","",""
"Y50-64","LU","M","2011","0","",""
"TOTAL","LU","T","2011","0","",""
"Y15-29","LU","M","2011","0","",""
"TOTAL","UK","F","2011","32154035","",""
"Y30-49","UK","T","2011","17588660","",""
"Y_GE85","UK","F","2011","942020","",""
"Y15-29","UK","M","2011","6349920","",""
"Y50-64","UK","T","2011","11516505","",""
"Y30-49","UK","F","2011","8869565","",""
"Y50-64","UK","M","2011","5683260","",""
"Y_GE85","UK","T","2011","1391985","",""
"Y15-29","UK","T","2011","12599990","",""
"Y30-49","UK","M","2011","8719095","",""
"Y65-84","UK","F","2011","4840570","",""
"Y65-84","UK","M","2011","4144570","",""
"Y_GE85","UK","M","2011","449965","",""
"Y15-29","UK","F","2011","6250070","",""
"Y65-84","UK","T","2011","8985140","",""
"Y_LT15","UK","T","2011","11099895","",""
"TOTAL","UK","T","2011","63182180","",""
"Y_LT15","UK","F","2011","5418565","",""
"Y_LT15","UK","M","2011","5681330","",""
"Y50-64","UK","F","2011","5833250","",""
"TOTAL","UK","M","2011","31028145","",""
"Y_LT15","SE","F","2011","770492","",""
"Y65-84","SE","M","2011","721088","",""
"Y30-49","SE","F","2011","1237203","",""
"TOTAL","SE","M","2011","4726834","",""
"Y15-29","SE","T","2011","1838374","",""
"Y15-29","SE","F","2011","894795","",""
"Y_LT15","SE","T","2011","1584270","",""
"Y_LT15","SE","M","2011","813778","",""
"Y50-64","SE","T","2011","1756360","",""
"Y30-49","SE","T","2011","2519183","",""
"TOTAL","SE","T","2011","9482855","",""
"Y_GE85","SE","T","2011","253327","",""
"Y30-49","SE","M","2011","1281980","",""
"Y65-84","SE","T","2011","1531341","",""
"Y_GE85","SE","F","2011","168386","",""
"Y15-29","SE","M","2011","943579","",""
"Y50-64","SE","M","2011","881468","",""
"Y50-64","SE","F","2011","874892","",""
"Y65-84","SE","F","2011","810253","",""
"Y_GE85","SE","M","2011","84941","",""
"TOTAL","SE","F","2011","4756021","",""
"Y30-49","IS","M","2011","42741","",""
"Y_GE85","IS","T","2011","5142","",""
"Y_LT15","IS","M","2011","33589","",""
"Y30-49","IS","F","2011","42404","",""
"TOTAL","IS","T","2011","315556","",""
"TOTAL","IS","M","2011","158151","",""
"Y50-64","IS","F","2011","27919","",""
"Y65-84","IS","T","2011","35140","",""
"Y50-64","IS","T","2011","56275","",""
"Y_LT15","IS","F","2011","32126","",""
"Y30-49","IS","T","2011","85145","",""
"TOTAL","IS","F","2011","157405","",""
"Y65-84","IS","M","2011","16765","",""
"Y15-29","IS","T","2011","68139","",""
"Y_GE85","IS","M","2011","1877","",""
"Y50-64","IS","M","2011","28356","",""
"Y65-84","IS","F","2011","18375","",""
"Y_GE85","IS","F","2011","3265","",""
"Y15-29","IS","M","2011","34823","",""
"Y15-29","IS","F","2011","33316","",""
"Y_LT15","IS","T","2011","65715","",""
"Y30-49","EE","M","2011","175620","",""
"Y50-64","EE","F","2011","142304","",""
"Y50-64","EE","M","2011","115446","",""
"Y15-29","EE","T","2011","254857","",""
"Y30-49","EE","F","2011","176897","",""
"Y_GE85","EE","M","2011","4484","",""
"Y_GE85","EE","T","2011","22873","",""
"Y15-29","EE","F","2011","124266","",""
"Y_GE85","EE","F","2011","18389","",""
"Y15-29","EE","M","2011","130591","",""
"TOTAL","EE","T","2011","1294455","",""
"Y_LT15","EE","F","2011","97003","",""
"Y65-84","EE","M","2011","71497","",""
"Y30-49","EE","T","2011","352517","",""
"TOTAL","EE","M","2011","600526","",""
"Y65-84","EE","T","2011","206567","",""
"Y50-64","EE","T","2011","257750","",""
"Y_LT15","EE","M","2011","102888","",""
"Y65-84","EE","F","2011","135070","",""
"TOTAL","EE","F","2011","693929","",""
"Y_LT15","EE","T","2011","199891","",""
"Y_LT15","DK","M","2011","509707","",""
"Y15-29","DK","F","2011","494101","",""
"Y15-29","DK","M","2011","511372","",""
"Y_LT15","DK","F","2011","485380","",""
"Y50-64","DK","F","2011","540867","",""
"Y65-84","DK","F","2011","440054","",""
"TOTAL","DK","M","2011","2756582","",""
"Y30-49","DK","M","2011","778890","",""
"Y50-64","DK","M","2011","539829","",""
"Y50-64","DK","T","2011","1080696","",""
"TOTAL","DK","F","2011","2804046","",""
"Y_GE85","DK","T","2011","111316","",""
"Y_GE85","DK","F","2011","76943","",""
"Y65-84","DK","T","2011","822465","",""
"Y65-84","DK","M","2011","382411","",""
"Y_LT15","DK","T","2011","995087","",""
"Y30-49","DK","T","2011","1545591","",""
"Y30-49","DK","F","2011","766701","",""
"TOTAL","DK","T","2011","5560628","",""
"Y15-29","DK","T","2011","1005473","",""
"Y_GE85","DK","M","2011","34373","",""
"Y_GE85","LI","T","2011","540","",""
"Y65-84","LI","F","2011","2419","",""
"Y_GE85","LI","F","2011","377","",""
"Y30-49","LI","T","2011","11194","",""
"Y15-29","LI","M","2011","3368","",""
"TOTAL","LI","F","2011","18263","",""
"Y30-49","LI","M","2011","5554","",""
"Y30-49","LI","F","2011","5640","",""
"Y65-84","LI","T","2011","4482","",""
"Y50-64","LI","T","2011","7559","",""
"Y65-84","LI","M","2011","2063","",""
"Y15-29","LI","F","2011","3231","",""
"Y_LT15","LI","T","2011","5775","",""
"TOTAL","LI","T","2011","36149","",""
"Y50-64","LI","F","2011","3767","",""
"Y15-29","LI","T","2011","6599","",""
"Y50-64","LI","M","2011","3792","",""
"Y_LT15","LI","F","2011","2829","",""
"Y_LT15","LI","M","2011","2946","",""
"TOTAL","LI","M","2011","17886","",""
"Y_GE85","LI","M","2011","163","",""
"Y15-29","NL","F","2011","1501397","",""
"Y50-64","NL","M","2011","1701438","",""
"TOTAL","NL","M","2011","8243482","",""
"Y30-49","NL","F","2011","2347971","",""
"Y_GE85","NL","F","2011","217754","",""
"Y50-64","NL","F","2011","1688780","",""
"Y15-29","NL","T","2011","3043011","",""
"Y_GE85","NL","M","2011","88965","",""
"Y_LT15","NL","F","2011","1419911","",""
"Y50-64","NL","T","2011","3390218","",""
"Y_LT15","NL","M","2011","1487164","",""
"Y65-84","NL","F","2011","1236504","",""
"Y30-49","NL","T","2011","4720549","",""
"Y65-84","NL","T","2011","2288227","",""
"TOTAL","NL","F","2011","8412317","",""
"Y_LT15","NL","T","2011","2907075","",""
"Y15-29","NL","M","2011","1541614","",""
"Y_GE85","NL","T","2011","306719","",""
"Y65-84","NL","M","2011","1051723","",""
"Y30-49","NL","M","2011","2372578","",""
"TOTAL","NL","T","2011","16655799","",""
"Y_GE85","RO","T","2011","263262","",""
"Y_GE85","RO","M","2011","87063","",""
"Y_LT15","RO","T","2011","3189646","",""
"TOTAL","RO","T","2011","20121641","",""
"Y50-64","RO","M","2011","1916493","",""
"Y30-49","RO","T","2011","5881752","",""
"Y_LT15","RO","F","2011","1551335","",""
"Y15-29","RO","M","2011","1939100","",""
"TOTAL","RO","M","2011","9788577","",""
"TOTAL","RO","F","2011","10333064","",""
"Y30-49","RO","F","2011","2894033","",""
"Y50-64","RO","T","2011","4024595","",""
"Y15-29","RO","T","2011","3777904","",""
"Y_LT15","RO","M","2011","1638311","",""
"Y30-49","RO","M","2011","2987719","",""
"Y65-84","RO","F","2011","1764591","",""
"Y65-84","RO","M","2011","1219891","",""
"Y65-84","RO","T","2011","2984482","",""
"Y_GE85","RO","F","2011","176199","",""
"Y50-64","RO","F","2011","2108102","",""
"Y15-29","RO","F","2011","1838804","",""
"Y50-64","IT","T","2011","11611966","",""
"Y30-49","IT","T","2011","17913407","",""
"Y15-29","IT","M","2011","4676806","",""
"Y65-84","IT","F","2011","5952622","",""
"Y30-49","IT","F","2011","9024030","",""
"Y15-29","IT","F","2011","4520550","",""
"TOTAL","IT","M","2011","28745507","",""
"Y_LT15","IT","M","2011","4285033","",""
"Y30-49","IT","M","2011","8889377","",""
"Y_GE85","IT","F","2011","1177661","",""
"Y65-84","IT","M","2011","4741205","",""
"Y_LT15","IT","F","2011","4041010","",""
"Y_GE85","IT","M","2011","513484","",""
"TOTAL","IT","T","2011","59433744","",""
"Y50-64","IT","F","2011","5972364","",""
"Y_GE85","IT","T","2011","1691145","",""
"Y15-29","IT","T","2011","9197356","",""
"Y65-84","IT","T","2011","10693827","",""
"Y_LT15","IT","T","2011","8326043","",""
"TOTAL","IT","F","2011","30688237","",""
"Y50-64","IT","M","2011","5639602","",""
"Y50-64","HU","M","2011","972631","",""
"Y15-29","HU","T","2011","1823070","",""
"Y30-49","HU","M","2011","1453695","",""
"Y65-84","HU","M","2011","574017","",""
"Y_GE85","HU","M","2011","43539","",""
