region,value
alabama,31.93884052
alaska,73.49570201
arizona,34.55124318
arkansas,47.69816546
california,23.57285861
colorado,45.15422886
connecticut,18.67538374
delaware,44.63276836
florida,29.67418276
georgia,23.63414386
hawaii,29.72972973
idaho,37.1927555
illinois,30.21688613
indiana,25.23742799
iowa,29.58776596
kansas,41.82334161
kentucky,35.48910524
louisiana,30.07569012
maine,28.4522003
maryland,20.2842604
massachusetts,26.2966333
michigan,45.37612839
minnesota,33.97265477
mississippi,33.5704607
missouri,26.82030728
montana,36.61538462
nebraska,34.33500278
nevada,38.74385168
new hampshire,30.11320755
new jersey,11.95452458
new mexico,53.1840796
new york,13.21324395
north carolina,24.58160111
north dakota,45.7496136
ohio,35.68396431
oklahoma,41.63276376
oregon,31.41662311
pennsylvania,28.76636255
rhode island,28.11016144
south carolina,36.46130235
south dakota,61.69950739
tennessee,32.06797967
texas,33.53643774
utah,33.78815081
vermont,21.22186495
virginia,19.94164658
washington,38.7605042
west virginia,25.82417582
wisconsin,19.77011494
wyoming,31.61764706
